start	end	eng	cmn	jpn
74155	77017	 Charles, you have finally lost your senses. 	 查理斯，你失去理智了 	 チャールズ、ついに気でも狂ったかね 
77453	79019	 This venture is impossible. 	 这种冒险是不可能的 	 この投機は無謀だよ 
79329	82022	 For some. Gentlemen, the only way to achieve the impossible 	 也许吧，先生们 但是，把不可能变成可能的最好办法就是… 	 不可能を可能にする唯一の方法は 
82499	84024	 is to believe it is possible. 	 …相信它是可能的 	 それが可能だと信じることです 
84501	86026	 That kind of thinking could ruin you. 	 这种想法会毁掉你的 	 そのような考え方が身を滅ぼすのだよ 
86462	88028	 I'm willing to take that chance. 	 我不会放过这个机会的 	 このチャンスに賭けてみるつもりです 
88505	94034	 Imagine trading posts in Rangoon, Bangkok, Jakarta... 	 想象下在仰光、曼谷、雅加达的那些商栈吧… 	 想像してみてください ラングーンやバンコク、ジャカルタの交易所を 
98645	100040	 The nightmare again? 	 又做恶梦了？ 	 また悪い夢を見たのかい? 
105518	107047	 I won't be long. 	 我马上回来 	 すぐに戻ります 
108525	112052	 I'm falling down a dark hole, 	 我掉进一个黑洞里 	 真っ暗な穴に落ちたの 
113489	116056	 then I see strange creatures. 	 然后看到许多奇怪的生物 	 見たことのない生き物がいたわ 
116992	119059	 What kind of creatures? 	 什么样的生物？ 	 どんな生き物? 
119203	125005	 Well, there's a dodo bird, a rabbit in a waistcoat, a smiling cat. 	 哦，有一只渡渡鸟 一只穿马甲的兔子、一只微笑的猫 	 ドードー鳥やチョッキを着込んだウサギ、 それに笑っている猫 
125918	128008	 I didn't know cats could smile. 	 我没听见过猫能笑 	 猫が笑えるとは知らなかったよ 
128337	130010	 Neither did I. 	 我也没听过 	 でも見たのよ 
130756	133013	 And there's a blue caterpillar. 	 还有只蓝色毛毛虫 	 それから青い毛虫がいたわ 
134635	138018	 Blue caterpillar.  Hmm. 	 蓝色毛毛虫  嗯 	 青い毛虫? 
139223	142022	 Do you think I've gone round the bend? 	 你以为我发疯了吗？ 	 わたし、おかしくなっちゃたのかしら? 
146522	152032	 I'm afraid so. You're mad, bonkers, off your head. 	 恐怕是的 你疯了、傻了、神经不正常了 	 君はおかしくなって、 たぶん頭がどこかに行ってしまってるんだ 
152903	158038	 But I'll tell you a secret. All the best people are. 	 但我告诉你一个秘密 所有的最棒的人都是这样的 	 でも、本当のことを言うとね 良き人たちはみんなそうなんだよ 
158200	161041	 It's only a dream, Alice. Nothing can harm you there. 	 这只是一个梦，爱丽丝 没有什么会伤害到你的 	 ただの夢だよ、アリス 誰も君を傷つけたりしない 
161787	167047	 But if you get too frightened, you can always wake up. Like this.  Ow! 	 但是如果真被吓着了，你可以马上醒来 就这样…  噢 	 怖くなったら、いつもで起きられるよ こんなふうにして 
175267	179059		 （十三年后） 	 13年後 
186395	188008	 Must we go? 	 我们非去不可吗？ 	 どうしても行くの? 
189314	193013	 Doubt they'll notice if we never arrive.  They will notice. 	 我们不去也许他们都不会注意到吧  他们会注意到的 	 行かなくてもバレないんじゃない?  ダメよ 
196321	198018	 Where's your corset? 	 你的胸衣呢？ 	 コルセットは? 
203787	205025	 And no stockings. 	 而且还没穿长袜 	 ストッキングも履いてない 
205455	206026	 I'm against them. 	 我不喜欢穿 	 わたし、そういうの嫌い 
206790	208028	 But you're not properly dressed. 	 但是你的穿戴不正确 	 正しく振る舞いなさい 
208542	211031	 Who's to say what is proper? 	 谁能决定什么才是正确的？ 	 何が正しいの? 
211128	216036	 What if it was agreed that "proper" was wearing a codfish on your head?  - Would you wear it? - Alice. 	 要是别人说在头上戴条鳕鱼才是“正确”的呢？  - 那么你也会那么穿戴吗？ - 爱丽丝 	 もしお魚を頭にのせることが 正しいって言われたらそうするの?  アリス 
216633	219039	 To me, a corset is like a codfish. 	 对我来说，胸衣就和鳕鱼一样可笑 	 わたしにとってコルセットはお魚といっしょよ 
219428	221041	 Please, not today. 	 拜托了，至少今天别这样 	 今日は言うことを聞いて 
221805	224044	 Father would have laughed. 	 要是父亲也会笑的 	 お父様ならきっと笑ってくれるわ 
225475	231051	 I'm sorry. I'm tired. I didn't sleep well last night. 	 对不起，我累了，我昨晚没睡好 	 ごめんなさい。 疲れてよく眠れなかったの 
231481	233053	 Did you have bad dreams again? 	 你又做恶梦了吗？ 	 悪い夢を見たの? 
233525	235055	 Only one. 	 总是那一个梦 	 ひとつだけね 
236028	239059	 It's always the same, ever since I can remember. 	 从我记得开始，每次都是一样的 	 いつも同じ夢 ずっとそうだわ 
239114	241001	 Do you think that's normal? 	 你觉得这正常吗？ 	 わたしはおかしいの? 
241742	244004	 Don't most people have different dreams? 	 绝大部分人都不会做同样的梦，不是吗？ 	 みんないつも同じ夢を見るものなの? 
245162	246006	 I don't know. 	 我不知道 	 分からない 
254713	258018	 There. You're beautiful. 	 戴上这个，你很漂亮 	 ほら。あなたはとてもキレイよ 
258550	260020	 Now, can you manage a smile? 	 现在能不能给我一个微笑？ 	 笑ってちょうだい 
