start	end	eng	cmn	jpn
37000	41041	 These are dark times, there is no denying. 	 毫无疑问  黑暗时期已经来临 	今は暗黒の時だ。それは否定できない。 
41660	47047	 Our world has, perhaps, faced no greater threat than it does today. 	 我们的世界面临着前所未有的威胁 	 我々の世界は今ほど大きな 脅威に直面したことはない。 
48290	52052	 But I say this to our citizenry: 	 但我要对我的人民说 	 だが、私は国民にこう言おう。 
52460	56056	 We, ever your servants... 	 我们  作为你们的公仆 	 我々は皆さんの奉仕者であり… 
56580	59059	 ...will continue to defend your liberty... 	 会一如既往地捍卫你们的自由 	 皆さんの自由を守り、 
59246	63003	 ...and repel the forces that seek to take it from you. 	 击退那些企图压迫你们的黑恶力量 	 その自由を奪おうとする脅威に 抵抗し続けるであろう。 
64954	72012	 Your Ministry remains...  ...strong. 	 你们的魔法部依旧强大 	 皆さんの魔法省は  健在です 
75862	79019		 黑魔标记传播着恐怖 	
80860	82022		 麻瓜家庭惨遭杀害 	
83420	85025		 食死徒数量大增 	
89750	92032	 Hermione. Tea's ready, darling. 	 赫敏  亲爱的  茶泡好了 	 ハーマイオニー、お茶が入ったわよ。 
92269	94034	 Coming, Mom. 	 妈妈  来了 	 今行くわ。 
98230	100040	 Come on, Dudley, hurry up. 	 快点  达力  快 	 ダドリー、早くしろ。 
100460	103043	 I still don't understand why we have to leave. 	 我还是不明白  为什么非得走 	 どうして出ていくのか まだ分からないよ。 
103688	108048	 Because, uh, it's not safe for us here anymore. 	 因为这里不再安全了 	 もうこの辺りは安全じゃないからだ。 
123710	128008	 Ron, tell your father supper's nearly ready. 	 罗恩  跟爸爸说晚餐快好了 	 ロン、父さんにもうすぐ夕食だと言って。 
133218	137017	 Is this in Australia?  Looks wonderful, doesn't it? 	 -她能应付这些事  -她多棒啊 	 彼女はとっても強いよ…  素敵じゃない？ 
137255	142022	 <i>Three and a half thousand kilometers along Australia's east coast.</i> 		 
143300	144024	 <i>Obliviate.</i> 	 一忘皆空 	 オブリビエイト… 
210970	220040		 哈利波特与死亡圣器  上 	
279150	284044	 Severus.  I was beginning to worry you had lost your way. 	 西弗勒斯  我正担心你迷路了呢 	 セブルス、  来るのが遅いから 道に迷ったのかと、心配し始めていたよ… 
284450	288048	 Come, we've saved you a seat. 	 来  给你留了个座位 	 こっちだ。席を用意してある。 
292260	293053	 You bring news, I trust? 	 你应该带来了些情报吧 	 情報は持ってきたんだろうな。 
293829	297057	 It will happen Saturday next, at nightfall. 	 下星期六  夜幕降临之时 	 次の土曜日の…夕暮れだ。 
297880	303003	 I've heard differently, my Lord.  Dawlish, the Auror, has let slip that the Potter boy... 	 主人  我听到的有所不同  那个傲罗德力士无意中透漏 	 我が君、私はそうは聞いていません。  ドーウィッシュがつい口を滑らせて… 
303755	306006	 ...will not be moved until the 30th of this month. 	 波特要到30号  也就是他满17岁的前一天 	 ポッターは今月の30日までは動かないと 
307292	308008	 The day before he turns 17. 	 才会转移 	 １７歳になる前の日です。 
308726	311011	 This is a false trail. 	 这是条假情报 	 それは嘘の情報だ。 
