start	end	eng	cmn	jpn
95589	98038	Excuse me, sir, is there a commode?	请问 先生 这里有洗手间吗?	ジャスティン、お待ち！ 
107350	108048	Justin!	贾斯丁	
108630	112052	Quick, honey, take my picture. I got the pyramid in my hand.	快 亲爱的 给我拍张手举金字塔的照片	写真を撮ってくれ ピラミッドを持ち上げるぞ 
120955	123003	Justin, you get back here right now!	贾斯丁 你快给我回来!	ジャスティン 戻ってきなさい！ 
123658	124004	No, stop!	不 站住!	
124157	127007	- No, no! Stop him! - Go back! Don't climb!	- 不 不! 拦住他! - 快回去! 别爬!	- 止まれ - ダメだ 
131958	135015	Wait, wait.  Hold on. Easy, little boy.	等等 等等  别动 放松 小朋友	止まるんだ そっちに行くな！ 
136504	138018	Okay, stop, child! Stop right there. No!	好了 站住 孩子! 站着别动 不!	待ちなさい そっちは危ない 
140050	143023	No, no, no! There he goes.	不 不 不! 他掉下去了	すぐに止まりなさい！  なんてこった、落ちたぞ 大変だ 
154249	155035	Justin!	贾斯丁!	ジャスティ～ン！ 
164252	166046	I've got him! I've got him!	我能接住! 我能接住!	こっちよ~! 受け止めるわ 
177128	182002	Outrage in Egypt tonight as it was discovered  that the Great Pyramid of Giza had been stolen	今晚 埃及曝出一条爆炸性的新闻  胡夫金字塔遭人偷走	エジプトで大事件が 発生しました  ピラミッドが盗まれ 
182380	185005	and replaced by a giant inflatable replica.	取而代之的竟然是一只巨大的充气仿制品	代わりにゴム風船を 警察が設置してました 
185595	188008	There is panic throughout the globe as countries and citizens	事件引起全球恐慌 各国人民	世界中がパニックです 
188502	191011	try to protect their beloved landmarks.	都在尽力保护自己国家的地标	皆、大事な財産を守ろうと必死 
192143	200020	Law enforcement still has no leads,  leaving everyone to wonder, which of the world's villains  is responsible for this heinous crime?	执法部门仍然毫无线索  大家都在猜测 到底哪个大坏蛋  才是这起卑劣罪行的主谋	犯人の手掛かりはありません  これの責任は誰が負うのか？ 
200067	202022	And where will he strike next?	他的下一步行动又是什么?	そして、次は何を盗むのか？ 
250927	253013	I'm having a bad, bad day	今天我心情很坏很坏	# I ordered a very difficult day # 
253167	259019	It's about time that I get my way  Steamrolling whatever I see	于是现在 火力全开  眼前的一切全都碾烂	# It's a matter of time until citizens by go #  # Jam I poured my anger on those who see # 
259290	262022	Freeze ray! Freeze ray! Freeze ray!	冷冻光线! 冷冻光线! 冷冻光线!	冷凍光線だ、凍っちまえ！ 
262091	264024	I'm having a bad, bad day	今天我心情很坏很坏	# I ordered a very difficult day # 
264493	270030	If you take it personal, that's okay  Watch, this is so fun to see	你要因此恨我 我也不会记怀  看好了 这可不好玩	# if Iattabrtamoha a personal matter not care about #  # Racbo this, it is interesting to see that # 
270494	273033	Despicable me	因为我是大坏蛋	I am a scoundrel  # 
298145	300000	Morning, Gru!	早啊 格鲁!	おはようーグルー 
301586	302002	How you doing?	你好啊	元気か？ 
302507	317017	Hello, Fred.  FYI, your dog has been leaving little bombs all over my yard,  and I don't appreciate it.  Sorry. You know dogs. They go wherever they want to go.  Unless they're dead.	你好 弗雷德  提醒你一下 你家的狗把我家院子 拉得到处都是狗屎  这我可不喜欢  抱歉 这也没办法 狗就是喜欢到处乱跑  死了就不会乱跑了	よう、お隣さん  裏庭に犬を放したろう 庭がクソだらけで...迷惑なんだ  すまん、すまん 犬はどこでも行くからな～  死んでなければな 
320230	321021	I'm joking!	我开玩笑的!	冗談だよ 
322195	325025	Although, it is true. Anyway, have a good one.	可我也没说错 祝你愉快	いや～、生きてたって まぁ、いい犬を飼うこった 
326278	329029	Okay. Yeah.	好吧	ああ、わかったよ 
329398	335035	Steamrolling whatever I see  Despicable me	眼前的一切全都碾烂  因为我是大坏蛋	# Jam I poured my anger on those who see #  I am a scoundrel  # # 
335641	341041	I'm having a bad, bad day  If you take it personal, that's okay	今天我心情很坏很坏  你要因此恨我 我也不会记怀	# I ordered a very difficult day #  # if Iattabrtamoha a personal matter not care about # 
343924	347047	Despicable me	因为我是大坏蛋	I am a scoundrel  # # 
352762	356056	You've got to be pulling on my leg!	开什么玩笑!	邪魔しやがって ほんまに！ 
359227	361001	Hello!	有人吗?	こんにちは... 
361313	364004	Cookies for sale.	要买饼干吗?	クッキーはいかが？ 
365317	370010	Go away. I'm not home.  Yes, you are. I heard you.	走开 家里没人  有人 我听见你说话了	帰ってくれ、留守だ  返事がするもん、いるじゃないの 
371239	376016	No, you didn't. This  is a recording.	不 你没听见 这是  这是录音	いや、これは...  自動応答です 
376369	378018	- No, it isn't. - Yes, it is.	- 不 不是录音 - 就是录音	違うわよ  本当です 
379039	383023	Watch this. Leave a message, beep.	听好了 有事请留言 哔--	メッセージをどうぞ　ピッー！ 
387088	391031	Goodbye, recorded message.  Agnes, come on.	再见了 录音先生  艾格尼斯 快跟上	これって留守録？  アグネス、おいで 
401561	402042	Kyle!	凯尔!	
402667	406046	Bad dog! No! No, no. Sit. My muffin.	坏狗狗! 不! 不 不 坐下 我的小松饼	あれ？やめろ、放せ！ 
406733	407047	Gru!	格鲁！	
407229	408048			グルー！ 
408860	410050	Dr Nefario.	法瑞奥博士	よぉ、ネファリオ博士 
410654	415055	I know how you must be feelíng.  I, too, have encountered great disappointment,	我知道你现在是什么感觉  因为我也一样 正承受着巨大的挫败感	さぞかしがっかりしただろう わしも落胆しとる 
416451	429009	but in my eyes, you will always be one of the greats.  What? What happened?  It's all over the news!  Some fella just stole a pyramid.  They're saying he makes all other villains look	但你在我眼里 永远都是最伟大的  怎么了? 出什么事了?  新闻上都在播呢!  某个家伙盗走了一座金字塔  他们都说跟他相比 我们这些其他坏蛋都...	だが、わしから見れば お前は世界一の悪党だ  何があったのか...？  ニュースでやっとる ピラミッドが盗まれたんじゃ  どちらが大悪党か 見せつけ取るんじゃ 
430173	431011	lame.	太菜了	皆を集めろ 
434010	436016	Assemble the minions!	集合喽罗们开会!	ミニオンを召集する！ 
466710	469049	Minions, assemble!	喽啰们 集合了!	ミニオン、集合だ！ 
469588	471051	Okay. Okay.	好的 好的	判ったよ 
478096	482002	Hey!	嘿!	お～～い、集会だぜ！ 
497264	499019			来いよ 
505908	506026			集会だ 
526645	530050	Looking good, Kevin! How is the family? Good?  All right.	气色不错啊 凯文! 家里人都好吗?  很好	ケビン、元気か？ 家族はバッチリか？ 
530690	533053	That's my Billy boy! What up, Larry?	这才是我的小比利! 你好吗 拉里?	熟した子供たちだ 
534559	538058	Hello, everybody!  Yeah, all right!	大家好!  很好 很好!	愛してるぜ  やぁ～みんな、元気か！ 
538823	541001	Simmer down. Simmer down!	安静 安静!	判ったよ 静かに、黙るんだ！ 
541243	543003	Thank you, okay.	谢谢 好了	話させてくれ...よし 
543203	546006	Now, I realise that you guys probably heard	我想你们也应该都听说了	恐らくピラミッド泥棒の.. 
546206	551011	about this other villain who stole the pyramids.  Apparently, it's a big deal.	某个坏蛋偷走了金字塔  这确实很牛B	話を聞きたいはずだ これは大問題だ 
551461	559019	People are calling it the crime of the century and stuff like that.  But am I upset? No, I am not!	人人都说这是世纪大案什么的  我会为这个紧张吗? 不会!	”世紀の大犯罪”だと 世間はほざいてる  俺が動揺してるかって？  全然してない！ 
560637	562022	A little,	虽然有那么一丁点	...多少はあるが、だが 
562138	566026	but we have had a pretty good year ourselves,	但我们今年也干得不错	我々の仕事は順調だ 
566142	569029	and you guys are all right in my book.	你们的名字全都记在功劳簿上了	お前たちも最高の子分だ 
570146	574034	No, no raises!  You're not going to get any raises.	不 别得意!  你们都没什么好得意的	...だからって  昇給はないぞ ありっこない 
575485	577037	What did we do?	我们都做了些什么?	我々が今年いただいたのは？ 
577237	583043	Well, we stole the Times Square JumboTron!	我们偷走了时代广场上的大屏幕!	タイムズ・スクェアーの大画面の ジャンボトロ~~ンだ！ 
583702	585045	Nice!	漂亮!	
585660	588048	That's how I roll.	这就是我的风格	これが俺のスタイルだ 
589040	593053	Yeah, you all like watching football on that, huh?	你们都喜欢用那东西看橄榄球是吧?	皆でフットボールを見るんだ 
593545	598058	But that's not all.  We stole the Statue of Liberty,	还不止这些  我们还偷走了自由女神像	...それだけではない  我々は”自由の女神”もいただいた！ 
