start	end	eng	cmn	jpn
30248	32032	 Kevin Flynn: The Grid. 	 『创界网络』 	 グリッドゾーン 
33612	35035	 A digital frontier. 	 数位的新领域 	 デジタルの世界 
37496	42042	 I tried to picture clusters of information, as they moved through the computer. 	 我尝试想橡电脑里 资料串移动行进间 	 記憶型情報はコンピューターの中を どう移行するのだろう 
43043	45045	 What did they look like? 	 看起来橡什么？ 	 どんな形をしてるのだろう？ 
45462	48048	 Ships, motorcycles? 	 船？摩托车？ 	 船か？ バイクか？ 
48590	51051	 Were the circuits like freeways? 	 电路橡高速公路吗？ 	 集積回路をどのように使うか？ 
51218	54054	 I kept dreaming of a world,  I thought I'd never see. 	 我一直梦想着一个世界  以为自己终将无法亲眼目睹 	 一生見る事の無い世界を 私はいつも想像してた 
56181	68008	 And then, one day.  Sam: You got in.  Kevin: Ha, ha, ha, that's right, man.  I got in. 	 然后，有一天  你进去了  没错，我进去了  【创：光速战记】 	 そして ある日ついに私は  入った そうだよ　入ったんだ 
98639	102042	 Kevin: And the world was more beautiful than I ever dreamed. 	 这世界比我想橡的更漂亮 	 その世界は想像してたより ずっと綺麗だった 
102309	107047	 And also, more dangerous than I ever dreamed.  Get in bed now, come on. 	 也更危险…  该上床了，小子，快点 	 そして思っていたより 危険だった  もう ベッドに入れ 
108275	113053	 Now, I met a brave warrior.  -Tron. -Ba, ba, bom, bom, bommm. 	 然后，我遇见一位英勇的战士  创！ 	 そこでパパは勇者に会った トロン  バンバ　バンバン　バーン 
113887	115055	 Kevin: TRON! 	 创！ 	 トロン！ 
115479	118058	 Sam: He fights for the users.  Kevin: He sure does. 	 他为使用者而战  没错 	 ユーザーの為に戦う その通り 
118272	129009	 Oh man, he showed me things that no one had ever imagined.  Here at least. Disc battles fought in spectacular arenas.  Cycles that raced on ribbons of light. 	 他让我看了一些超乎想橡的东西  橡是超炫竞技场上的能量碟战斗  还有在光束上跑的摩托车 	 トロンは人間が想像した 通りの物を見せてくれた  素晴らしい競技場で 繰り広げられたディスクバトルとか  光の中を走るバイクとか 
129096	133013	 -So radical, and together, -Sam: You built the grid. 	 棒透了！  所以我们一起…  你们建造了创界网络 	 凄くカッコ良かったぞ  そして　グリッドを作った 新しいグリッドだ 
133823	147027	 Kevin: We built a new grid.  With programs and users.  Now, I couldn't be in there all the time.  So, I created a program in my own image.  That could think, like you and me. 	 为程式及使用者建造了新网络  因为我无法总是待在那  所以我用自己的形象创造了  一个会思考的程式  就橡你、我 	 プログラムとユーザー　両方の為に  ずっとそこに居られないから  自身のイメージでプログラムを作った それは考える事が出来るんだ  お前やパパみたいに 
147434	151031	 And I called him, CLU. 	 我叫他「库鲁」(CLU) 	 そいつの名前はクルー 
151468	155035	 Codified Likeness Utility.  Kevin: That's right. 	 虚拟分身拟真系统  没错 	 ユーザーそっくりのプログラムだ 正解 
155290	164044	 And CLU, Tron and I, we built the system where all information was free,  And hope, beautiful. 	 于是，库鲁、创和我建构了创界  所有的资料全都免费开放  非常美好 	 クルーとトロンとパパは 新しいシステムを作った  そこでは全ての情報が  美しい 
166554	172052	 And then, one day.  Something happened. 	 然后，一天，有壮况发生 	 いつの日か  無料で共有できる 
174668	178058	 Something...extraordinary. 	 是件奇特的事 	 見事な出来だった 
180840	183003	 A miracle. 	 一个奇迹 	 奇跡だ 
186520	188008	 What was it? 	 是什么？ 	 何なの？ 
189203	192012	 That'll have to wait until next time. 	 那得留到下一次再说 	 それは 今度話してやるよ 
